"Site.name","SiteNum","U_depth","L_depth","mid_point","BD_final","OC_final","CD_calc"
"RC99 S6","M0021",0.2,0.22,0.21,0.5,9.76,0.049
"RC99 S6","M0021",0.22,0.24,0.23,0.49,9.85,0.049
"RC99 S6","M0021",0.24,0.26,0.25,0.5,9.57,0.048
"RC99 S6","M0021",0.26,0.28,0.27,0.52,9.09,0.047
"RC99 S6","M0021",0.28,0.3,0.29,0.54,8.44,0.046
"RC99 S6","M0021",0.3,0.32,0.31,0.56,8.02,0.045
"RC99 S6","M0021",0.32,0.34,0.33,0.57,7.73,0.044
"RC99 S6","M0021",0.34,0.36,0.35,0.57,7.76,0.044
"RC99 S6","M0021",0.36,0.38,0.37,0.56,7.83,0.044
"RC99 S6","M0021",0.38,0.4,0.39,0.57,7.7,0.044
"RC99 S6","M0021",0.4,0.42,0.41,0.56,7.86,0.044
"RC99 S6","M0021",0.42,0.44,0.43,0.57,7.6,0.044
"RC99 S6","M0021",0.44,0.46,0.45,0.58,7.45,0.043
"RC99 S6","M0021",0.46,0.48,0.47,0.57,7.64,0.044
"RC99 S6","M0021",0.48,0.5,0.49,0.57,7.77,0.044
"RC99 S6","M0021",0.5,0.52,0.51,0.56,8.04,0.045
"RC99 S6","M0021",0.52,0.54,0.53,0.55,8.13,0.045
"RC99 S6","M0021",0.54,0.56,0.55,0.56,7.94,0.044
"RC99 S6","M0021",0.56,0.58,0.57,0.58,7.49,0.043
"RC99 S6","M0021",0.58,0.6,0.59,0.56,7.95,0.044
"DMA96 Low","M0022",0,0.2,0.1,0.61,6.23,0.038
"DMA96 Med","M0023",0,0.2,0.1,0.56,12.53,0.07
"DMA96 High","M0024",0,0.2,0.1,0.6,12.63,0.076
"DMA96 Creek Bank","M0025",0,0.2,0.1,0.68,4.5,0.031
"DMA00 PH1","M0026",0,0.06685,0.033,0.9,2.11,0.019
"DMA00 PH1","M0026",0.06685,0.12671,0.097,0.96,1.7,0.016
"DMA00 PH1","M0026",0.12671,0.15705,0.142,0.89,2.19,0.019
"DMA00 PH1","M0026",0.15705,0.1851,0.171,0.95,1.72,0.016
"DMA00 PH1","M0026",0.1851,0.22422,0.205,0.84,2.64,0.022
"DMA00 PH1","M0026",0.22422,0.24439,0.234,0.93,1.9,0.018
"DMA00 PH1","M0026",0.24439,0.30384,0.274,0.86,2.41,0.021
"DMA00 PH1","M0026",0.30384,0.36312,0.333,0.88,2.21,0.02
"DMA00 PH1","M0026",0.36312,0.38298,0.373,0.75,3.78,0.028
"DMA00 PH1","M0026",0.38298,0.42583,0.404,0.9,2.06,0.019
"DMA00 PH1","M0026",0.42583,0.50498,0.465,1.01,1.42,0.014
"DMA00 PH1","M0026",0.50498,0.55752,0.531,0.96,1.7,0.016
"DMA00 PH1","M0026",0.55752,0.58924,0.573,1.01,1.42,0.014
"DMA00 PH1","M0026",0.58924,0.60925,0.599,1.05,1.25,0.013
"DMA00 PH1","M0026",0.60925,0.68943,0.649,0.98,1.57,0.015
"DMA00 PH2","M0027",0,0.00497,0.002,1,1.48,0.015
"DMA00 PH2","M0027",0.00497,0.07646,0.041,0.81,2.9,0.024
"DMA00 PH2","M0027",0.07646,0.14519,0.111,0.81,3,0.024
"DMA00 PH2","M0027",0.14519,0.21432,0.18,0.85,2.5,0.021
"DMA00 PH2","M0027",0.21432,0.28386,0.249,0.91,2,0.018
"DMA00 PH2","M0027",0.28386,0.35224,0.318,0.81,2.91,0.024
"DMA00 PH2","M0027",0.35224,0.42316,0.388,0.82,2.81,0.023
"DMA00 PH2","M0027",0.42316,0.49725,0.46,0.86,2.41,0.021
"DMA00 PH2","M0027",0.49725,0.55711,0.527,1.02,1.4,0.014
"DMA00 PH2","M0027",0.55711,0.68903,0.623,0.93,1.9,0.018
"DMA00 PH2","M0027",0.68903,0.82095,0.755,1.04,1.3,0.014
"DMA00 D1","M0028",0,0.0514,0.026,0.63,6.1,0.039
"DMA00 D1","M0028",0.0514,0.10236,0.077,0.58,7.3,0.043
"DMA00 D1","M0028",0.10236,0.15387,0.128,0.62,6.39,0.04
"DMA00 D1","M0028",0.15387,0.20111,0.177,0.64,6.01,0.038
"DMA00 D1","M0028",0.20111,0.25076,0.226,0.66,5.42,0.036
"DMA00 D1","M0028",0.25076,0.30097,0.276,0.64,5.91,0.038
"DMA00 D1","M0028",0.30097,0.35136,0.326,0.71,4.5,0.032
"DMA00 D1","M0028",0.35136,0.4024,0.377,0.74,3.92,0.029
"DMA00 D1","M0028",0.4024,0.45279,0.428,0.72,4.3,0.031
"DMA00 D1","M0028",0.45279,0.50225,0.478,0.69,4.9,0.034
"DMA00 D1","M0028",0.50225,0.55636,0.529,0.74,4.01,0.03
"DMA00 D1","M0028",0.55636,0.60535,0.581,0.76,3.61,0.028
"DMA00 D1","M0028",0.60535,0.65558,0.63,0.82,2.82,0.023
"DMA00 D1","M0028",0.65558,0.70865,0.682,0.82,2.79,0.023
"DMA00 D1","M0028",0.70865,0.76062,0.735,0.9,2.11,0.019
"DMA00 D1","M0028",0.76062,0.78725,0.774,0.86,2.4,0.021
"DMA00 D1","M0028",0.78725,0.80924,0.798,0.87,2.3,0.02
"DMA00 D1","M0028",0.80924,0.83051,0.82,0.98,1.56,0.015
"DMA00 D1","M0028",0.83051,0.85178,0.841,0.91,2,0.018
"DMA00 D2","M0029",0,0.06041,0.03,1.04,1.29,0.013
"DMA00 D2","M0029",0.06041,0.10886,0.085,1,1.49,0.015
"DMA00 D2","M0029",0.10886,0.15638,0.133,1.02,1.38,0.014
"DMA00 D2","M0029",0.15638,0.20529,0.181,0.96,1.7,0.016
"DMA00 D2","M0029",0.20529,0.25503,0.23,0.98,1.6,0.016
"DMA00 D2","M0029",0.25503,0.30672,0.281,1.09,1.1,0.012
"DMA00 D2","M0029",0.30672,0.35545,0.331,1.04,1.3,0.013
"DMA00 D2","M0029",0.35545,0.40519,0.38,1.18,0.82,0.01
"DMA00 D2","M0029",0.40519,0.45594,0.431,1.18,0.8,0.009
"DMA00 D2","M0029",0.45594,0.50624,0.481,1.15,0.89,0.01
"DMA00 D2","M0029",0.50624,0.56034,0.533,1.15,0.9,0.01
"DMA00 D2","M0029",0.56034,0.60946,0.585,1.09,1.1,0.012
"DMA00 D2","M0029",0.60946,0.65995,0.635,1.22,0.71,0.009
"DMA00 D2","M0029",0.65995,0.71256,0.686,1.26,0.6,0.008
"DMA00 D2","M0029",0.71256,0.75924,0.736,1.26,0.61,0.008
"DMA00 D2","M0029",0.75924,0.7906,0.775,1.23,0.69,0.008
"DMA00 D2","M0029",0.7906,0.8126,0.802,1.17,0.84,0.01
"DMA00 D2","M0029",0.8126,0.83107,0.822,1.14,0.92,0.011
"DMA00 D2","M0029",0.83107,0.91162,0.871,1.09,1.09,0.012
"DMA00 D2","M0029",0.91162,0.96109,0.936,1.26,0.61,0.008
"DMA00 D2","M0029",0.96109,1,0.981,1.21,0.74,0.009
"DMA00 MB1","M0030",0,0.05804,0.029,0.51,9.31,0.048
"DMA00 MB1","M0030",0.05804,0.10831,0.083,0.59,7.2,0.042
"DMA00 MB1","M0030",0.10831,0.15466,0.131,0.68,5.19,0.035
"DMA00 MB1","M0030",0.15466,0.20769,0.181,0.54,8.42,0.046
"DMA00 MB1","M0030",0.20769,0.25729,0.232,0.59,7.21,0.042
"DMA00 MB1","M0030",0.25729,0.30491,0.281,0.56,7.82,0.044
"DMA00 MB1","M0030",0.30491,0.35458,0.33,0.51,9.23,0.047
"DMA00 MB1","M0030",0.35458,0.40386,0.379,0.52,9.04,0.047
"DMA00 MB1","M0030",0.40386,0.45375,0.429,0.48,10.22,0.049
"DMA00 MB1","M0030",0.45375,0.5028,0.478,0.6,6.93,0.041
"DMA00 MB1","M0030",0.5028,0.55247,0.528,0.59,7.14,0.042
"DMA00 MB1","M0030",0.55247,0.60274,0.578,0.57,7.54,0.043
"DMA00 MB1","M0030",0.60274,0.65307,0.628,0.63,6.14,0.039
"DMA00 MB1","M0030",0.65307,0.68529,0.669,0.57,7.67,0.044
"DMA00 MB1","M0030",0.68529,0.72723,0.706,0.73,4.13,0.03
"DMA00 MB1","M0030",0.72723,0.75333,0.74,0.71,4.44,0.032
"DMA00 MB1","M0030",0.75333,0.78727,0.77,0.47,10.55,0.05
"DMA00 MB1","M0030",0.78727,0.82121,0.804,0.73,4.14,0.03
"DMA00 BR1","M0031",0,0.05739,0.029,0.69,4.89,0.034
"DMA00 BR1","M0031",0.05739,0.10849,0.083,0.71,4.59,0.032
"DMA00 BR1","M0031",0.10849,0.1592,0.134,0.73,4.09,0.03
"DMA00 BR1","M0031",0.1592,0.20843,0.184,0.76,3.6,0.027
"DMA00 BR1","M0031",0.20843,0.30565,0.257,0.7,4.7,0.033
"DMA00 BR1","M0031",0.30565,0.35653,0.331,0.62,6.33,0.039
"DMA00 BR1","M0031",0.35653,0.40509,0.381,0.72,4.31,0.031
"DMA00 BR1","M0031",0.40509,0.45293,0.429,0.62,6.32,0.039
